Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://leaders.jo/en/product-category/all-products/electronics-en/smartwatches-accessories/,21,14841,6737,51592,9952.71,9.52%,0.01697,86.6,1.69,5224156.7
https://leaders.jo/en/?wc-ajax=get_refreshed_fragments,21,22391,10364,44800,10521.34,52.38%,0.01708,70.05,2.18,4200863.6
https://www.google-analytics.com/j/collect?v=1&_v=j101&aip=1&a=1935507977&t=pageview&_s=1&dl=https%3A%2F%2Fleaders.jo%2Fen%2Fproduct-category%2Fall-products%2Felectronics-en%2Fsmartwatches-accessories%2F&ul=en-us&de=UTF-8&dt=Smartwatches%20%26%20Accessories%20-%20Leaders%20Center&sd=24-bit&sr=1366x768&vp=1303x654&je=0&_u=SCCAgUIpAAAAACAMI~&jid=1493471572&gjid=456019101&cid=1384277495.1708164760&tid=UA-154350771-1&_gid=1048678112.1708358240&_slc=1&linkid=menu-item-161019&il1nm=Product%20category&il1pi1id=1177558310C&il1pi1nm=TECNO%20CH%20Smart%20Watch%201.3%22%20-%20Black&il1pi1ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi1ps=1&il1pi1pr=39.00&il1pi2id=1192192610&il1pi2nm=KALOBEE%20Smart%20Watch%20GT%209%201.36%22&il1pi2ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi2ps=2&il1pi2pr=25.00&il1pi3id=0218930144&il1pi3nm=Apple%20Watch%20SE%20GPS%20Aluminum%20Case%2044%2F40%20mm&il1pi3ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi3ps=3&il1pi3pr=225.00&il1pi4id=3445667777&il1pi4nm=HUAWEI%20Smart%20Watch%20GT3%2046mm&il1pi4ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi4ps=4&il1pi4pr=1200.00&il1pi5id=1192020513&il1pi5nm=HUAWEI%20Band%207%20Health%20and%20Fitness%20-%20Pink&il1pi5ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi5ps=5&il1pi5pr=49.00&il1pi6id=1192035810&il1pi6nm=LENYES%20Smart%20Watch%201.32%22%20-%20Black&il1pi6ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi6ps=6&il1pi6pr=65.00&il1pi7id=1177665704&il1pi7nm=APPLE%20Smart%20Watch%20Series%206%20GPS%2044mm%20-%20Red&il1pi7ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi7ps=7&il1pi7pr=199.00&il1pi8id=0238914&il1pi8nm=Apple%20Watch%20Ultra%202&il1pi8ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi8ps=8&il1pi8pr=719&il1pi9id=1177973910&il1pi9nm=XIAOMI%20Redmi%202%20Lite%20Watch%201.55%22%20-%20Black&il1pi9ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi9ps=9&il1pi9pr=69&il1pi10id=1192065001&il1pi10nm=APPLE%20Smart%20Watch%20Series%208%20GPS%2041mm%20-%20Starlight%20White&il1pi10ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi10ps=10&il1pi10pr=309.00&il1pi11id=1192141150C&il1pi11nm=TECNO%20Watch%202%20-%20Black&il1pi11ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi11ps=11&il1pi11pr=45&il1pi12id=000099999&il1pi12nm=HUAWEI%20Smart%20Watch%20Fit%201.64%22&il1pi12ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi12ps=12&il1pi12pr=70.00&il1pi13id=236178900&il1pi13nm=Huawei%20GT%204%2041mm%20Smart%20Watch%20-%20Wireless%20Charging&il1pi13ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi13ps=13&il1pi13pr=179&il1pi14id=008009900&il1pi14nm=HUAWEI%20GT3%20SE%20Smart%20Watch%201.43%22&il1pi14ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi14ps=14&il1pi14pr=135.00&il1pi15id=1178075501&il1pi15nm=XIAOMI%20Smart%20Watch%20S1%20Active%201.43%22%20-%20White&il1pi15ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi15ps=15&il1pi15pr=149.00&il1pi16id=1177789150&il1pi16nm=XIAOMI%20Mi%20Smart%20Band%206&il1pi16ca=All%20products%2FElectronics%2FSmartwatches%20%26amp%3B%20Accessories%2FSmartwatches&il1pi16ps=16&il1pi16pr=42.00&z=2076723606,21,578,112,1035,273.19,0.00%,0.01736,0.01,0.06,440
https://stats.g.doubleclick.net/j/collect?t=dc&aip=1&_r=3&v=1&_v=j101&tid=UA-154350771-1&cid=1384277495.1708164760&jid=1493471572&gjid=456019101&_gid=1048678112.1708358240&_u=SCCAgUIpAAAAAGAMI~&z=256949659,21,471,114,770,178.53,0.00%,0.01736,0.01,0.01,513
https://leaders.jo/en/product/apple-watch-ultra-2/,20,19493,9349,64524,13690.69,25.00%,0.01633,41.56,1.87,2605615.8
https://www.google-analytics.com/j/collect?v=1&_v=j101&aip=1&a=951012501&t=pageview&_s=1&dl=https%3A%2F%2Fleaders.jo%2Fen%2Fproduct%2Fapple-watch-ultra-2%2F&ul=en-us&de=UTF-8&dt=Buy%20online%20Apple%20Watch%20Ultra%202%20and%20the%20best%20smart%20watches%20%7C%20Leaders%20Center&sd=24-bit&sr=1366x768&vp=1303x654&je=0&_u=SCCAgUIpAAAAACAMI~&jid=&gjid=&cid=1384277495.1708164760&tid=UA-154350771-1&_gid=1048678112.1708358240&_slc=1&z=1696665299,20,332,109,776,197.16,0.00%,0.01662,0.01,0.01,440
https://leaders.jo/wp-admin/admin-ajax.php,96,1912,1067,20198,2221.65,1.04%,0.07129,0.08,0.08,1135.9
https://leaders.jo/en/samsung/,19,32527,9512,54890,13151.83,68.42%,0.01538,58.49,2.94,3895156.3
https://leaders.jo/?wc-ajax=add_to_cart,19,23303,10464,52345,11005.96,100.00%,0.01562,59.51,2.43,3900775.7
https://leaders.jo/checkout/,19,19011,7652,40062,9652.95,42.11%,0.01549,11.73,1.53,775454.1
